,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
777,MATH,Metalpha Technology Holding Limited,106.68M,0.36%,86718,31.40M
778,MHLD,"Maiden Holdings, Ltd.",99.68M,-3.37%,258629,41.58M
779,PFX,PhenixFIN Corporation,99.35M,0.71%,202,24.04M
780,PROV,"Provident Financial Holdings, Inc.",99.05M,-0.47%,2009,39.91M
781,MGYR,"Magyar Bancorp, Inc.",98.56M,-1.61%,812,34.07M
782,SRL,Scully Royalty Ltd.,97.92M,-1.40%,3013,24.54M
783,NOEM,CO2 Energy Transition Corp.,95.76M,-,97,-
784,BKHA,Black Hawk Acquisition Corporation,94.56M,-0.09%,114,-
785,PBHC,"Pathfinder Bancorp, Inc.",93.93M,-5.88%,5361,41.32M
786,IROH,Iron Horse Acquisitions Corp.,92.75M,-0.28%,164977,-
787,HSPT,Horizon Space Acquisition II Corp.,92.43M,-,-,-
788,FSHP,Flag Ship Acquisition Corporation,92.18M,-0.76%,-,-
789,DTSQ,DT Cloud Star Acquisition Corporation,91.68M,-,1,-
790,AFJK,"Aimei Health Technology Co., Ltd",89.90M,0.45%,10,-
791,RILY,"B. Riley Financial, Inc.",89.81M,0.68%,534483,854.38M
792,RILYP,"B. Riley Financial, Inc.",89.81M,3.16%,1270,854.38M
793,BSBK,Bogota Financial Corp.,89.01M,0.43%,18460,13.69M
794,GRYP,"Gryphon Digital Mining, Inc.",88.88M,-3.79%,7208125,14.61M
795,WSBK,"Winchester Bancorp, Inc.",87.56M,-0.37%,25852,15.69M
796,LSBK,"Lake Shore Bancorp, Inc.",87.35M,1.18%,1773,25.80M
797,CFSB,"CFSB Bancorp, Inc.",85.28M,0.22%,21772,7.48M
798,JVSA,JVSPAC Acquisition Corp.,83.01M,-,103,-
799,YHNA,YHN Acquisition I Limited,82.61M,2.99%,2,-
800,HNNA,"Hennessy Advisors, Inc.",82.37M,-0.76%,4785,35.55M
801,ASPC,A SPAC III Acquisition Corp.,82.32M,-0.49%,2114,-
802,ISRL,Israel Acquisitions Corp,81.88M,1.51%,18177,-
803,FNWB,First Northwest Bancorp,81.60M,-0.32%,5414,52.13M
804,CAPN,Cayson Acquisition Corp,80.18M,0.10%,635,-
805,COLA,Columbus Acquisition Corp,80.16M,-,5,-
806,EURK,Eureka Acquisition Corp,79.36M,0.19%,150087,-
807,UBCP,"United Bancorp, Inc.",78.86M,0.30%,4219,29.41M
808,IROQ,"IF Bancorp, Inc.",78.31M,-0.72%,1096,25.10M
809,PELI,Pelican Acquisition Corporation,77.84M,0.10%,4031293,-
810,FVN,Future Vision II Acquisition Corp.,77.67M,0.07%,-,-
811,RDAC,Rising Dragon Acquisition Corp.,76.94M,0.10%,1224,-
812,FUSB,"First US Bancshares, Inc.",75.06M,-,130,38.45M
813,IOR,"Income Opportunity Realty Investors, Inc.",75.02M,-,17,-
814,HGBL,Heritage Global Inc.,74.78M,-1.40%,27911,46.66M
815,AUBN,"Auburn National Bancorporation, Inc.",73.19M,5.00%,1484,31.16M
816,DYCQ,DT Cloud Acquisition Corporation,73.14M,-,1,-
817,TROO,"TROOPS, Inc.",73.14M,-5.51%,47662,10.07M
818,LCCC,Lakeshore Acquisition III Corp.,72.24M,0.10%,571,-
819,AMTD,AMTD IDEA Group,69.49M,3.39%,33820,67.03M
820,FDSB,"Fifth District Bancorp, Inc.",69.16M,-0.08%,2932,12.61M
821,SSBI,Summit State Bank,67.46M,-0.45%,726,25.93M
822,DOMH,Dominari Holdings Inc.,67.36M,-2.95%,209992,24.89M
823,BOTJ,"Bank of the James Financial Group, Inc.",64.52M,-1.18%,313,45.08M
824,RIBB,Ribbon Acquisition Corp.,63.08M,-3.08%,-,-
825,CPBI,"Central Plains Bancshares, Inc.",62.55M,0.10%,346,18.55M
826,BAFN,BayFirst Financial Corp.,62.10M,4.83%,864,80.17M
827,UYSC,UY Scuti Acquisition Corp.,61.15M,0.39%,9298,-
828,OAKU,Oak Woods Acquisition Corporation,59.48M,0.94%,16,-
829,BAYA,Bayview Acquisition Corp,59.48M,-0.46%,101,-
830,DMYY,"dMY Squared Technology Group, Inc.",58.50M,5.36%,135633,-
831,GEG,"Great Elm Group, Inc.",58.12M,-0.48%,4489,19.63M
832,BYFC,Broadway Financial Corporation,57.79M,-1.73%,1905,32.73M
833,BTCS,BTCS Inc.,57.72M,-5.61%,1393686,5.31M
834,EMCG,Embrace Change Acquisition Corp.,53.85M,-0.72%,6,-
835,TBMC,Trailblazer Merger Corporation I,53.31M,-0.25%,312752,-
836,ALCY,Alchemy Investments Acquisition Corp 1,52.08M,-0.09%,49,-
837,OPHC,"OptimumBank Holdings, Inc.",52.06M,0.23%,3310,39.98M
838,FSEA,"First Seacoast Bancorp, Inc.",50.53M,-1.55%,730,16.20M
839,HSPO,Horizon Space Acquisition I Corp.,50.44M,1.26%,-,-
840,CLST,"Catalyst Bancorp, Inc.",48.99M,-1.73%,6213,11.26M
841,RAND,Rand Capital Corporation,48.26M,-2.17%,643,8.50M
842,LRFC,Logan Ridge Finance Corporation,47.06M,-0.11%,3255,20.54M
843,TOP,TOP Financial Group Limited,47.05M,-0.78%,30213,2.73M
844,COHN,Cohen & Company Inc.,46.60M,-0.99%,5675,84.17M
845,FORL,Four Leaf Acquisition Corporation,46.33M,-0.61%,238,-
846,MAAS,Highest Performances Holdings Inc.,45.57M,-9.23%,19242,378.92M
847,ATMV,AlphaVest Acquisition Corp,45.41M,-,-,-
848,TCBS,"Texas Community Bancshares, Inc.",44.22M,-,2406,14.49M
849,ESHA,ESH Acquisition Corp.,43.39M,1.28%,-,-
850,ASRV,"AmeriServ Financial, Inc.",43.28M,0.77%,34296,53.04M
851,OMCC,Old Market Capital Corporation,42.45M,10.57%,919,25.15M
852,MDBH,"MDB Capital Holdings, LLC",41.99M,-2.09%,3031,3.57M
853,ICMB,"Investcorp Credit Management BDC, Inc.",40.79M,-7.49%,88176,21.00M
854,ATMC,AlphaTime Acquisition Corp,40.45M,-1.35%,7,-
855,QETA,Quetta Acquisition Corporation,40.10M,-,-,-
856,TURN,180 Degree Capital Corp.,40.05M,-0.37%,22274,194.81K
857,HFBL,"Home Federal Bancorp, Inc. of Louisiana",39.40M,-,560,20.02M
858,BCG,"Binah Capital Group, Inc.",39.02M,-1.67%,9983,172.86M
859,MGLD,"The Marygold Companies, Inc.",38.95M,3.91%,26527,31.21M
860,DIST,Distoken Acquisition Corporation,37.63M,-2.00%,2,-
