,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
281,BV,"BrightView Holdings, Inc.",1.52B,0.19%,590925,2.73B
282,LNN,Lindsay Corporation,1.50B,0.66%,92580,647.54M
283,ENVX,Enovix Corporation,1.49B,0.39%,2895453,22.90M
284,LMB,"Limbach Holdings, Inc.",1.49B,1.85%,114402,532.91M
285,NVEE,"NV5 Global, Inc.",1.46B,-0.09%,441220,962.75M
286,EOSE,"Eos Energy Enterprises, Inc.",1.45B,6.33%,8818376,19.46M
287,GOGL,Golden Ocean Group Limited,1.44B,0.84%,2323195,863.61M
288,VVX,"V2X, Inc.",1.44B,-2.18%,268331,4.33B
289,HLMN,Hillman Solutions Corp.,1.43B,-1.76%,1312948,1.48B
290,ARCB,ArcBest Corporation,1.39B,-2.01%,257450,4.11B
291,GBX,"The Greenbrier Companies, Inc.",1.39B,-1.20%,167001,3.51B
292,ARLO,"Arlo Technologies, Inc.",1.38B,-1.99%,481577,505.75M
293,CCEC,Capital Clean Energy Carriers Corp.,1.36B,-1.30%,8387,402.63M
294,TNC,Tennant Company,1.35B,-0.78%,142183,1.27B
295,CMPO,"CompoSecure, Inc.",1.35B,4.18%,1822940,376.39M
296,NNE,NANO Nuclear Energy Inc.,1.34B,30.07%,19939926,-
297,CDRE,"Cadre Holdings, Inc.",1.33B,-1.33%,298541,559.81M
298,HI,"Hillenbrand, Inc.",1.32B,-2.70%,544646,3.05B
299,DXPE,"DXP Enterprises, Inc.",1.32B,0.50%,60313,1.87B
300,DGNX,Diginex Limited,1.31B,-12.01%,87205,1.18M
301,EVEX,"Eve Holding, Inc.",1.30B,-0.45%,104364,-
302,TIC,Acuren Corporation,1.27B,-1.23%,633136,1.11B
303,CRAI,"CRA International, Inc.",1.26B,-1.59%,42805,697.48M
304,DSGR,"Distribution Solutions Group, Inc.",1.25B,-0.44%,81594,1.87B
305,EH,EHang Holdings Limited,1.22B,-2.19%,2591610,62.49M
306,BLBD,Blue Bird Corporation,1.22B,-1.48%,252936,1.36B
307,UP,Wheels Up Experience Inc.,1.17B,3.07%,892907,772.53M
308,NMM,Navios Maritime Partners L.P.,1.16B,1.36%,80030,1.32B
309,PRG,"PROG Holdings, Inc.",1.14B,-1.19%,385452,2.51B
310,SFL,SFL Corporation Ltd.,1.13B,2.54%,778745,852.59M
311,JBI,"Janus International Group, Inc.",1.13B,-2.07%,1892901,919.80M
312,PL,Planet Labs PBC,1.11B,-0.27%,4004373,244.35M
313,ATRO,Astronics Corporation,1.07B,1.11%,229313,816.29M
314,MRTN,"Marten Transport, Ltd.",1.06B,0.12%,468316,937.19M
315,BBSI,"Barrett Business Services, Inc.",1.06B,-0.92%,110706,1.17B
316,CMPR,Cimpress plc,1.05B,-1.95%,176384,3.37B
317,KRNT,Kornit Digital Ltd.,1.01B,-2.66%,208531,206.51M
318,DCO,Ducommun Incorporated,1.01B,0.71%,61211,789.82M
319,GIC,Global Industrial Company,1.01B,-0.68%,50085,1.31B
320,RDW,Redwire Corporation,1.00B,2.28%,1641782,277.70M
321,NSSC,"Napco Security Technologies, Inc.",1.00B,-1.30%,352251,181.23M
322,AMSC,American Superconductor Corporation,998.63M,0.36%,822228,222.82M
323,CMRE,Costamare Inc.,996.92M,-0.24%,284717,2.05B
324,HLIO,"Helios Technologies, Inc.",987.62M,-3.42%,328376,789.40M
325,CTOS,"Custom Truck One Source, Inc.",976.11M,-1.37%,327983,1.81B
326,CECO,CECO Environmental Corp.,963.17M,-0.15%,157806,608.30M
327,GRC,The Gorman-Rupp Company,951.33M,-0.90%,69550,664.35M
328,EVLV,"Evolv Technologies Holdings, Inc.",936.42M,-4.99%,6503935,113.69M
329,ALGT,Allegiant Travel Company,923.66M,-1.31%,247157,2.56B
330,WLFC,Willis Lease Finance Corporation,904.63M,-0.05%,45340,594.15M
331,PSIX,"Power Solutions International, Inc.",890.65M,2.46%,282687,516.17M
332,ASTE,"Astec Industries, Inc.",886.10M,-0.71%,122616,1.33B
333,HSII,"Heidrick & Struggles International, Inc.",881.54M,-1.36%,154685,1.12B
334,THR,"Thermon Group Holdings, Inc.",876.19M,-8.28%,378729,498.21M
335,PRLB,"Proto Labs, Inc.",875.23M,-1.66%,246672,499.21M
336,GSL,"Global Ship Lease, Inc.",871.80M,-1.88%,415032,715.23M
337,SKYH,Sky Harbour Group Corporation,856.14M,0.28%,170976,17.95M
338,TRNS,"Transcat, Inc.",850.72M,-0.52%,70643,278.42M
339,PLUG,Plug Power Inc.,841.11M,-2.49%,102514893,642.22M
340,ULCC,"Frontier Group Holdings, Inc.",835.90M,-2.13%,1869719,3.82B
341,APOG,"Apogee Enterprises, Inc.",834.02M,-0.62%,254841,1.36B
342,NX,Quanex Building Products Corporation,816.44M,-1.03%,206745,1.44B
343,ECO,Okeanis Eco Tankers Corp.,792.26M,3.95%,104130,362.25M
344,VSTS,Vestis Corporation,788.06M,4.00%,2788978,2.73B
345,PRSU,"Pursuit Attractions and Hospitality, Inc.",769.69M,-0.11%,202629,366.84M
346,WLDN,"Willdan Group, Inc.",745.86M,0.16%,184656,595.70M
347,GLDD,Great Lakes Dredge & Dock Corporation,742.44M,2.25%,546427,806.90M
348,CRESY,"Cresud Sociedad Anónima, Comercial, Inmobiliaria, Financiera y Agropecuaria",732.75M,2.29%,207748,648.20M
349,TH,Target Hospitality Corp.,732.32M,-2.96%,386985,349.50M
350,AMRC,"Ameresco, Inc.",718.04M,-,247759,1.82B
351,KFRC,Kforce Inc.,715.14M,-1.73%,100203,1.38B
352,ADSE,ADS-TEC Energy PLC,709.14M,4.76%,77555,113.90M
353,HY,"Hyster-Yale, Inc.",701.05M,-2.34%,67284,4.16B
354,IIIN,"Insteel Industries, Inc.",692.22M,0.11%,97289,570.46M
355,HTLD,"Heartland Express, Inc.",687.34M,-0.57%,740213,996.61M
356,ERII,"Energy Recovery, Inc.",684.51M,0.92%,423207,140.92M
357,PLPC,Preformed Line Products Company,683.04M,1.73%,118198,601.35M
358,SWIM,"Latham Group, Inc.",679.59M,0.26%,314598,509.31M
359,RYI,Ryerson Holding Corporation,670.32M,-1.23%,180690,4.50B
360,MEG,"Montrose Environmental Group, Inc.",658.66M,-2.38%,337089,718.90M
361,MATW,Matthews International Corporation,646.53M,0.24%,201568,1.70B
362,FIP,FTAI Infrastructure Inc.,626.60M,9.20%,2600847,345.12M
363,DLX,Deluxe Corporation,610.25M,-2.29%,375965,2.12B
364,NPK,"National Presto Industries, Inc.",607.16M,1.40%,27706,415.21M
365,NVRI,Enviri Corporation,606.95M,-1.57%,883143,2.29B
