,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
204,WTI,"W&T Offshore, Inc.",205.24M,0.72%,1280091,514.34M
205,BRY,Berry Corporation,193.21M,0.20%,1040372,753.74M
206,FET,"Forum Energy Technologies, Inc.",178.25M,-0.96%,28895,807.31M
207,PROP,Prairie Operating Co.,171.81M,12.64%,1662488,21.53M
208,GTE,Gran Tierra Energy Inc.,166.92M,1.28%,48682,634.81M
209,PHX,PHX Minerals Inc.,163.45M,-,1708715,36.06M
210,REI,"Ring Energy, Inc.",163.05M,5.97%,1798826,335.64M
211,EPSN,Epsilon Energy Ltd.,157.64M,1.27%,56894,39.70M
212,EPM,Evolution Petroleum Corporation,144.52M,0.23%,133324,85.96M
213,EP,Empire Petroleum Corporation,136.56M,-,53771,42.80M
214,DLNG,Dynagas LNG Partners LP,133.87M,4.29%,67948,156.40M
215,MMLP,Martin Midstream Partners L.P.,119.17M,-0.99%,13758,719.34M
216,AMPY,Amplify Energy Corp.,108.91M,0.75%,402650,290.43M
217,SLNG,"Stabilis Solutions, Inc.",102.35M,-1.37%,508,70.86M
218,IMPP,Imperial Petroleum Inc.,95.67M,12.10%,717118,138.37M
219,DTI,Drilling Tools International Corporation,93.61M,4.37%,30811,160.35M
220,LSE,"Leishen Energy Holding Co., Ltd.",86.82M,2.60%,6842,69.07M
221,SND,"Smart Sand, Inc.",81.11M,-1.09%,54898,293.88M
222,NCSM,"NCS Multistage Holdings, Inc.",78.64M,-3.22%,6785,168.70M
223,GEOS,Geospace Technologies Corporation,75.56M,-0.67%,34774,116.54M
224,RCON,"Recon Technology, Ltd.",64.93M,-3.33%,42331,9.00M
225,CRT,Cross Timbers Royalty Trust,61.74M,0.68%,10872,6.83M
226,PED,PEDEVCO Corp.,59.26M,1.87%,31982,40.17M
227,PVL,Permianville Royalty Trust,52.14M,0.64%,10988,4.34M
228,VOC,VOC Energy Trust,50.15M,-3.91%,70357,11.92M
229,PRT,PermRock Royalty Trust,47.69M,0.77%,24720,6.43M
230,USEG,U.S. Energy Corp.,45.55M,9.84%,1216674,16.34M
231,NRT,North European Oil Royalty Trust,41.27M,2.05%,20811,5.94M
232,DWSN,Dawson Geophysical Company,40.28M,3.17%,4791,58.65M
233,INDO,Indonesia Energy Corporation Limited,36.86M,8.16%,271208,2.67M
234,VIVK,"Vivakor, Inc.",33.43M,-4.95%,66587,111.13M
235,KLXE,"KLX Energy Services Holdings, Inc.",33.09M,1.61%,62789,688.60M
236,CGBS,Crown LNG Holdings Limited,31.51M,-5.79%,3853190,-
237,PXS,Pyxis Tankers Inc.,30.99M,0.34%,19105,49.34M
238,BANL,CBL International Limited,24.78M,-5.93%,22335,592.52M
239,TOPS,Top Ships Inc.,24.53M,-0.90%,4954,86.13M
240,CKX,"CKX Lands, Inc.",23.61M,0.44%,188,1.73M
241,NINE,"Nine Energy Service, Inc.",22.06M,-2.44%,499776,562.45M
242,BATL,Battalion Oil Corporation,21.88M,1.89%,15857,191.50M
243,TMDE,TMD Energy Limited,20.68M,-3.25%,115161,688.61M
244,SKYQ,Sky Quarry Inc.,18.04M,-11.33%,159238,18.74M
245,STAK,STAK Inc.,17.56M,0.56%,5045,22.25M
246,MXC,Mexco Energy Corporation,14.02M,-1.72%,2176,7.16M
247,BPT,BP Prudhoe Bay Royalty Trust,13.84M,0.98%,104868,211.00K
248,BRN,"Barnwell Industries, Inc.",12.97M,1.57%,4555,19.39M
249,HUSA,Houston American Energy Corp.,10.46M,2.62%,120654,514.84K
250,MTR,Mesa Royalty Trust,9.32M,1.26%,2630,668.83K
251,NEHC,"New Era Helium, Inc.",8.74M,-1.85%,424083,530.02K
252,TPET,Trio Petroleum Corp.,8.21M,-7.81%,416526,224.02K
253,EONR,EON Resources Inc.,8.03M,11.45%,1560303,21.55M
254,MARPS,Marine Petroleum Trust,7.68M,-0.52%,3405,1.04M
255,RBNE,Robin Energy Ltd.,6.53M,-1.44%,3861,-
