,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
259,LEG,"Leggett & Platt, Incorporated",1.18B,-1.91%,1441701,4.31B
260,GOOS,Canada Goose Holdings Inc.,1.16B,3.16%,2788391,943.74M
261,SCS,Steelcase Inc.,1.16B,-0.59%,711611,3.17B
262,ARHS,"Arhaus, Inc.",1.15B,-0.61%,1390843,1.29B
263,TILE,"Interface, Inc.",1.15B,-0.91%,343144,1.32B
264,MODG,Topgolf Callaway Brands Corp.,1.15B,-1.26%,1867909,4.19B
265,CRI,"Carter's, Inc.",1.14B,-3.00%,1390530,2.81B
266,CNNE,"Cannae Holdings, Inc.",1.12B,0.34%,427534,445.00M
267,MLKN,"MillerKnoll, Inc.",1.10B,-1.66%,330380,3.60B
268,TRS,TriMas Corporation,1.04B,-2.53%,241976,939.58M
269,WOOF,"Petco Health and Wellness Company, Inc.",1.01B,-1.63%,2824094,6.12B
270,FOXF,Fox Factory Holding Corp.,1.00B,-1.68%,766165,1.42B
271,FWRG,"First Watch Restaurant Group, Inc.",961.86M,-1.01%,431228,1.06B
272,XPEL,"XPEL, Inc.",954.16M,-3.15%,161607,434.10M
273,ACEL,"Accel Entertainment, Inc.",949.68M,0.18%,197681,1.25B
274,WGO,"Winnebago Industries, Inc.",941.09M,-2.53%,467794,2.75B
275,BJRI,"BJ's Restaurants, Inc.",938.71M,2.28%,260393,1.37B
276,UXIN,Uxin Limited,933.95M,0.65%,2589,273.13M
277,HEPS,D-Market Elektronik Hizmetler ve Ticaret A.S.,909.51M,-,175012,1.47B
278,SBH,"Sally Beauty Holdings, Inc.",884.84M,-0.57%,1497166,3.70B
279,TDUP,ThredUp Inc.,872.66M,-1.60%,1900169,266.79M
280,PTLO,Portillo's Inc.,855.14M,-2.52%,1983256,721.16M
281,AMWD,American Woodmark Corporation,841.72M,-0.76%,91017,1.76B
282,KSS,Kohl's Corporation,832.70M,-7.77%,7784276,16.22B
283,THRM,Gentherm Incorporated,828.59M,-1.65%,218408,1.45B
284,OLPX,"Olaplex Holdings, Inc.",792.45M,-4.80%,849290,420.74M
285,OXM,"Oxford Industries, Inc.",785.83M,-2.76%,248186,1.52B
286,BH,Biglari Holdings Inc.,762.23M,0.22%,9655,367.70M
287,KRUS,"Kura Sushi USA, Inc.",761.14M,-0.55%,176877,258.44M
288,BH.A,Biglari Holdings Inc.,754.03M,1.25%,626,367.70M
289,GDEN,"Golden Entertainment, Inc.",742.83M,0.53%,139315,653.61M
290,LQDT,"Liquidity Services, Inc.",741.80M,-5.04%,239286,439.25M
291,FIGS,"FIGS, Inc.",715.22M,-2.65%,1219740,561.17M
292,ETD,Ethan Allen Interiors Inc.,662.96M,0.35%,258116,622.92M
293,CSV,"Carriage Services, Inc.",662.08M,0.05%,60671,407.77M
294,CYD,China Yuchai International Limited,641.94M,-0.58%,81467,2.62B
295,BLMN,"Bloomin' Brands, Inc.",641.36M,-2.20%,2034160,3.93B
296,SMP,"Standard Motor Products, Inc.",633.27M,-0.14%,108087,1.55B
297,CARS,Cars.com Inc.,632.01M,-1.66%,535243,718.00M
298,PLOW,"Douglas Dynamics, Inc.",625.96M,-0.70%,134993,587.92M
299,KRT,Karat Packaging Inc.,620.53M,-1.47%,72470,430.64M
300,BZH,"Beazer Homes USA, Inc.",614.30M,0.14%,198705,2.44B
301,REAL,"The RealReal, Inc.",589.23M,-0.57%,2203656,616.72M
302,RERE,ATRenew Inc.,585.08M,-1.87%,360025,2.39B
303,MBUU,"Malibu Boats, Inc.",576.98M,-1.70%,110464,759.23M
304,GES,"Guess?, Inc.",574.21M,-0.54%,452384,3.00B
305,ECX,ECARX Holdings Inc.,563.51M,-4.40%,1527825,805.60M
306,LIND,"Lindblad Expeditions Holdings, Inc.",557.47M,1.29%,246800,670.83M
307,DADA,Dada Nexus Limited,557.40M,1.90%,1431165,1.32B
308,MSC,Studio City International Holdings Limited,554.65M,-0.35%,474,650.71M
309,CAL,"Caleres, Inc.",544.12M,-3.33%,712916,2.72B
310,LEGH,Legacy Housing Corporation,542.17M,0.76%,69648,176.62M
311,CURV,Torrid Holdings Inc.,537.28M,-2.83%,450618,1.10B
312,SFIX,"Stitch Fix, Inc.",537.08M,-2.80%,855792,1.27B
313,BBW,"Build-A-Bear Workshop, Inc.",528.10M,-0.15%,172104,496.40M
314,HOV,"Hovnanian Enterprises, Inc.",527.11M,3.44%,74239,3.06B
315,SCVL,"Shoe Carnival, Inc.",513.83M,-3.59%,301307,1.20B
316,ARKO,Arko Corp.,512.80M,-3.84%,457316,8.49B
317,AGS,"PlayAGS, Inc.",508.44M,-0.24%,367553,393.72M
318,MLR,"Miller Industries, Inc.",508.10M,-0.92%,40270,1.13B
319,AXL,"American Axle & Manufacturing Holdings, Inc.",506.47M,-2.28%,2759393,5.93B
320,NWTN,NWTN Inc.,493.82M,-7.65%,637252,43.87M
321,ODP,The ODP Corporation,479.81M,-1.24%,374112,6.82B
322,CANG,Cango Inc.,473.27M,-1.30%,277495,247.22M
323,ZKH,ZKH Group Limited,462.42M,-7.59%,47867,1.22B
324,HZO,"MarineMax, Inc.",455.88M,-1.30%,166479,2.42B
325,MYE,"Myers Industries, Inc.",450.83M,-1.31%,183733,835.93M
326,GAMB,Gambling.com Group Limited,424.39M,-2.46%,249655,138.60M
327,NATH,"Nathan's Famous, Inc.",414.14M,-1.68%,11908,146.39M
328,XPOF,"Xponential Fitness, Inc.",408.16M,-,293684,317.54M
329,JMIA,Jumia Technologies AG,396.78M,-0.92%,3638002,154.85M
330,CPS,Cooper-Standard Holdings Inc.,385.53M,-0.77%,250378,2.72B
331,CRMT,"America's Car-Mart, Inc.",385.25M,-1.85%,52326,1.38B
332,JACK,Jack in the Box Inc.,383.06M,0.25%,545064,1.52B
333,MNRO,"Monro, Inc.",379.16M,-1.09%,916745,1.21B
334,MOV,"Movado Group, Inc.",373.36M,-1.00%,182738,653.38M
335,DIN,"Dine Brands Global, Inc.",361.11M,2.94%,322816,820.85M
336,BNED,"Barnes & Noble Education, Inc.",359.27M,-0.66%,211339,1.57B
337,SES,SES AI Corporation,349.06M,-1.53%,8913575,7.83M
338,RICK,"RCI Hospitality Holdings, Inc.",345.24M,-0.51%,41824,286.77M
339,VENU,Venu Holding Corporation,334.70M,-2.81%,6411,17.39M
340,CHPT,"ChargePoint Holdings, Inc.",334.00M,-1.31%,12365942,417.08M
341,CDRO,"Codere Online Luxembourg, S.A.",332.72M,-3.19%,1364,202.64M
342,HVT,"Haverty Furniture Companies, Inc.",327.09M,-1.07%,125287,720.47M
343,KFS,Kingsway Financial Services Inc.,325.76M,4.69%,45841,114.71M
344,BWMX,"Betterware de México, S.A.P.I. de C.V.",316.57M,-7.51%,122491,684.84M
345,NIU,Niu Technologies,315.75M,12.19%,1878060,477.58M
346,BYON,"Beyond, Inc.",312.00M,-4.24%,1850534,1.24B
347,PBPB,Potbelly Corporation,298.10M,-0.60%,94352,465.13M
348,FLWS,"1-800-FLOWERS.COM, Inc.",296.84M,-3.91%,609055,1.71B
349,WEYS,"Weyco Group, Inc.",295.96M,-0.92%,7298,286.76M
350,MPX,Marine Products Corporation,292.23M,-0.95%,14184,226.22M
351,SDA,SunCar Technology Group Inc.,289.97M,-1.74%,84686,458.91M
352,PACK,Ranpak Holdings Corp.,284.71M,-0.88%,287292,374.80M
353,CVEO,Civeo Corporation,280.90M,-0.10%,100877,660.05M
354,MCFT,"MasterCraft Boat Holdings, Inc.",279.96M,-1.81%,50477,303.24M
355,DOGZ,Dogness (International) Corporation,279.44M,-1.30%,401259,20.26M
356,LOCO,"El Pollo Loco Holdings, Inc.",274.38M,1.28%,136378,476.03M
357,EM,Smart Share Global Limited,273.82M,-,9867,259.54M
358,LOVE,The Lovesac Company,273.74M,-2.79%,299576,680.63M
